"Emplacamento de Caminhões"
"Período";"CAMINHÕES"
"1996 - JUN";2918
"1996 - JUL";3541
"1996 - AGO";4050
"1996 - SET";3552
"1996 - OUT";3964
"1996 - NOV";3582
"1996 - DEZ";3444
"1997 - JAN";3768
"1997 - FEV";4151
"1997 - MAR";4622
"1997 - ABR";4781
"1997 - MAI";4269
"1997 - JUN";4884
"1997 - JUL";5564
"1997 - AGO";5176
"1997 - SET";5490
"1997 - OUT";5838
"1997 - NOV";3736
"1997 - DEZ";2652
"1998 - JAN";3842
"1998 - FEV";3529
"1998 - MAR";5414
"1998 - ABR";4850
"1998 - MAI";5132
"1998 - JUN";5183
"1998 - JUL";4890
"1998 - AGO";4984
"1998 - SET";4473
"1998 - OUT";3686
"1998 - NOV";3561
"1998 - DEZ";3224
"1999 - JAN";4055
"1999 - FEV";3164
"1999 - MAR";4270
"1999 - ABR";4134
"1999 - MAI";4224
"1999 - JUN";4886
"1999 - JUL";4074
"1999 - AGO";4876
"1999 - SET";4640
"1999 - OUT";3866
"1999 - NOV";4376
"1999 - DEZ";4100
"2000 - JAN";4189
"2000 - FEV";5570
"2000 - MAR";5222
"2000 - ABR";5049
"2000 - MAI";6340
"2000 - JUN";6324
"2000 - JUL";5797
"2000 - AGO";6599
"2000 - SET";6047
"2000 - OUT";6439
"2000 - NOV";6443
"2000 - DEZ";5190
"2001 - JAN";5163
"2001 - FEV";5658
"2001 - MAR";7673
"2001 - ABR";6552
"2001 - MAI";6777
"2001 - JUN";6386
"2001 - JUL";5870
"2001 - AGO";6699
"2001 - SET";5943
"2001 - OUT";5318
"2001 - NOV";5847
"2001 - DEZ";5631
"2002 - JAN";5327
"2002 - FEV";4562
"2002 - MAR";5350
"2002 - ABR";5386
"2002 - MAI";6362
"2002 - JUN";5239
"2002 - JUL";5278
"2002 - AGO";4567
"2002 - SET";5351
"2002 - OUT";6584
"2002 - NOV";6232
"2002 - DEZ";5442
"2003 - JAN";4586
"2003 - FEV";5102
"2003 - MAR";5117
"2003 - ABR";5368
"2003 - MAI";5722
